Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Coogee Beach,05/12/2023,08:24:00,8,21,54100,-33.920760000,151.258170000
Sydney City,Randwick City Council,Clovelly Beach,05/12/2023,08:02:00,2,20,53200,-33.914578000,151.267659000
Sydney City,Randwick City Council,Gordons Bay (East),05/12/2023,08:12:00,0,20,53400,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,05/12/2023,07:35:00,2,20,53300,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,05/12/2023,08:43:00,0,21,54300,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,05/12/2023,07:50:00,6,20,53100,-33.903087000,151.268790000
Sydney City,Waverley Council,Bronte Beach,30/11/2023,08:18:00,12,19,53100,-33.903087000,151.268790000
Sydney City,Randwick City Council,Maroubra Beach,30/11/2023,09:24:00,0,20,53600,-33.948896000,151.257459000
Sydney City,Randwick City Council,Gordons Bay (East),30/11/2023,08:43:00,24,19,53100,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,30/11/2023,08:00:00,27,19,53300,-33.900805000,151.270734000
Sydney City,Randwick City Council,Clovelly Beach,30/11/2023,08:34:00,30,19,52800,-33.914578000,151.267659000
Sydney City,Randwick City Council,Coogee Beach,30/11/2023,09:00:00,0,20,53700,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,30/11/2023,09:40:00,0,21,54100,-33.951378000,151.257322000
Sydney City,Randwick City Council,Malabar Beach,30/11/2023,10:00:00,0,20,53300,-33.964360000,151.252247000
Sydney City,Randwick City Council,South Maroubra Rockpool,30/11/2023,09:39:00,0,21,54100,-33.953515000,151.258009000
Sydney City,Randwick City Council,Little Bay Beach,30/11/2023,10:17:00,22,21,53500,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,30/11/2023,07:40:00,52,19,53300,-33.891157000,151.278267000
Sydney City,Waverley Council,Bondi Beach,24/11/2023,07:39:00,43,20,53800,-33.891157000,151.278267000
Sydney City,Randwick City Council,Little Bay Beach,24/11/2023,09:57:00,1000,21,50200,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,24/11/2023,09:15:00,3200,21,53600,-33.953515000,151.258009000
